"musician","album","label","edit","crow","core","thou"
"Bailey, Derek","LOCationAL","Incus",7,"No","No","No"
"Bailey, Derek","Limescale","Incus",7,"No","No","No"
"Bailey, Derek","Standards","Tzadik",9,"No","No","Yes"
"Bailey, Derek","Unanswered Questions","BVHaast",9,"No","No","No"
"Bailey, Derek","Mirakle","Tzadik",9,"No","No","No"
"Bailey, Derek","Solo Guitar: Volume 1","Incus",10,"No","No","Yes"
"Bailey, Mildred","Rockin' Chair V Discs","VJC",3,"No","No","No"
"Bailey, Mildred","Squeeze Me","Jasmine",9,"No","No","No"
"Bailey, Mildred","MB 1943-1945","Classics",10,"No","No","Yes"
"Baker, Chet","Best Of CB Sings","Pacific Jazz",1,"No","No","No"
"Baker, Chet","Live At Nick's","Criss Cross",1,"No","No","Yes"
"Baker, Chet","Peace","Enja",1,"No","No","No"
"Baker, Chet","Blues For A Reason","Criss Cross",1,"No","No","Yes"
"Baker, Chet","Chet's Choice","Criss Cross",1,"No","No","No"
"Baker, Chet","My Funny Valentine ()","Philology",1,"No","No","No"
"Baker, Chet","Best Thing For You","A&M",4,"No","No","No"
"Baker, Chet","Broken Wing","Emarcy",6,"No","No","No"
"Baker, Chet","Live In Bologna","Dreyfus",9,"No","No","No"
"Baker, Chet","Prince Of Cool","Blue Note",9,"No","No","No"
"Baker, Chet","CB & Crew","Pacific Jazz",10,"No","No","Yes"
"Baker, Ginger","Goin' Back Home","Atlantic",3,"No","No","No"
"Baker, Ginger","Falling Off The Roof","Atlantic",4,"No","No","No"
"Baker, Ginger","Coward Of The County","Atlantic",5,"No","No","No"
"Baker, Kenny","Too Hot: Best of Mainstream","Nixa",9,"No","No","No"
"Balke, Jon","Kyanos","ECM",7,"No","No","No"
"Ball, Kenny","Back At The Start","Lake",10,"No","No","Yes"
"Ballamy, Iain","Acme","B&W",4,"No","No","No"
"Ballamy, Iain","Food","Feral",5,"No","No","Yes"
"Ballamy, Iain","Last Supper","Rune",9,"No","No","No"
"Ballou, Dave","Floating World","Steeplechase",9,"No","No","No"
"Ballou, Dave","Insistence","Steeplechase",9,"No","No","Yes"
"Bancroft, Phil","Headlong","Caber",8,"No","No","No"
"Bang, Billy","Rainbow Gladiator","Soul Note",1,"No","No","Yes"
"Bang, Billy","Valve #10","Soul Note",4,"No","No","No"
"Bang, Billy","Bang On","Justin Time",5,"No","No","No"
"Barber, Chris","30 Years CB","Timeless",1,"No","No","No"
"Barber, Chris","CB Concerts","Lake",3,"No","No","No"
"Barber, Chris","CB:Volumes 1&2","Dormouse",1,"No","No","No"
"Barber, Chris","Panama!","Timeless",1,"No","No","No"
"Barber, Chris","Complete Decca","Lake",7,"No","Yes","Yes"
"Barber, Chris","Pye Jazz","Castle",7,"No","No","No"
"Barber, Chris","CB International","Lake",8,"No","No","No"
"Barber, Chris","Collaboration","Jazzology",9,"No","No","No"
"Barber, Chris","That's It Then","Timeless",9,"No","No","No"
"Barbieri, Gato","El Pampero","RCA",4,"No","No","No"
"Barbieri, Gato","Latino America","Impulse",4,"No","No","No"
"Barbieri, Gato","Last Tango In Paris","Rykodisc",5,"No","No","No"
"Barbieri, Gato","Priceless Jazz","GRP",5,"No","No","No"
"Barbieri, Gato","Chapter 4: Alive In New York","Impulse",9,"Yes","No","Yes"
"Bardo State Orchestra","Ultimate Gift","Impetus",3,"No","No","No"
"Barker, Guy","Into The Blue","Verve",3,"No","No","No"
"Barker, Guy","What Love Is","Emarcy",4,"No","No","Yes"
"Barker, Guy","Soundtrack","Provocateur",6,"No","No","No"
"Barnes, Alan","Cannonball","ASC",9,"No","No","No"
"Barnes, Alan","Songs For Unsung Heroes","Woodville",10,"No","No","Yes"
"Barnet, Charlie","Drop Me Off In Harlem","MCA",1,"No","No","No"
"Barnet, Charlie","Capitol Big Band","Capitol",10,"No","No","Yes"
